N;CCAA;ÁREA TEMÁTICA;ICTS;TIPO;INSTALACIÓN;ENTIDAD TITULAR/GESTORA;CODE;COMMAPOSITION;LONGITUD;LATITUD;GEOPOSICIÓN;DIRECCIÓN;TELÉFONO;CORREO ELECTRÓNICO;WEB ICTS;WEB INSTALACIÓN;WEB MCIN;IMAGEN;ACCESO_ICTS
11;CATALUÑA;Ciencias de la salud y biotecnología;Infraestructura de Tecnologías Ómicas (OMICSTECH);DISTRIBUIDAS;Plataforma de Secuenciación del Centro Nacional de Análisis Genómico (CNAG-CRG) y la Plataforma de Proteómica del Centro de Regulación Genómica (CRG);"Centro de Regulación Genómica (CRG)
Centro Nacional de Análisis Genómico (CNAG)";ES.CT;18; 2.116509079977371;41.38200432900618;41.38200432900618, 2.1165090799773716;Parque Científico de Barcelona Torre I. Calle Baldiri Reixac, 4. 08028 Barcelona.;93 4020542;genomics@omicstech-icts.org;https://www.omicstech.es/;https://www.cnag.crg.eu/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasSalud/OMICSTECH/CNAG-CRG.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-de-la-Salud-y-Biotecnolog-a/OmicsTech/OmicsTech-CNAG/CNAG_Laboratorio2.jpg/jcr:content.jpg;https://www.omicstech.es/access/access
12;CATALUÑA;Ciencias de la salud y biotecnología;Infraestructura de Tecnologías Ómicas (OMICSTECH);DISTRIBUIDAS;Plataforma de Metabolómica del Centro de Ciencias Ómicas (COS);Universitat Rovira i Virgili;ES.CT;19; 1.1204839067476506;41.146283847894956;41.146283847894956, 1.1204839067476506;Avenida Universitat, 1. 43204 Reus.;977 300 431;multiomics@omicstech-icts.org;https://www.omicstech.es/;https://omicscentre.com/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasSalud/OMICSTECH/COS.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-de-la-Salud-y-Biotecnolog-a/OmicsTech/OmicsTech-COS/COS_Edificio.jpg/jcr:content.jpg;https://www.omicstech.es/access/access
14;MADRID;Ciencias de la salud y biotecnología;Infraestructura integrada de producción y caracterización de nanomateriales, biomateriales y sistemas en biomedicina (NANBIOSIS);DISTRIBUIDAS;Plataformas de Bioingeniería, Biomateriales y Nanomedicina (CIBER);Consorcio Centro de Investigación Biomédica en Red (CIBER);ES.MD;18; -3.69256779915069;40.47899514947208;40.47899514947208, -3.692567799150692;"Instituto de Salud Carlos III
Avenida Monforte de Lemos 3-5, pabellón 11, planta 0. 28029 Madrid.

";620107537;ciber-bbn@nanbiosis.es;https://www.nanbiosis.es/;https://www.ciber-bbn.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasSalud/NANBIOSIS/CIBER-BNN.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-de-la-Salud-y-Biotecnolog-a/NANBIOSIS/NANBIOSIS-CIBER-BNN/CIBER_Logo.png/jcr:content.png;https://www.nanbiosis.es/order-request/
15;EXTREMADURA;Ciencias de la salud y biotecnología;Infraestructura integrada de producción y caracterización de nanomateriales, biomateriales y sistemas en biomedicina (NANBIOSIS);DISTRIBUIDAS;Infraestructura Preclínica y de Desarrollo de Tecnologías de Mínima Invasión (CCMIJU);Centro de Cirugía de Mínima Invasión Jesús Usón (CCMIJU);ES.EX;18; -6.32987081533335;39.47405770460942;39.47405770460942, -6.329870815333358;Carretera N-521, km. 41,8. 10071 Cáceres. ;927 18 10 32;ccmiju@nanbiosis.es;https://www.nanbiosis.es/;http://www.ccmijesususon.com/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasSalud/NANBIOSIS/CCMIJU.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-de-la-Salud-y-Biotecnolog-a/NANBIOSIS/NANBIOSIS-CCMIJU/CCMI_Edificio.jpg/jcr:content.jpg;https://www.nanbiosis.es/order-request/
16;ANDALUCÍA;Ciencias de la salud y biotecnología;Infraestructura integrada de producción y caracterización de nanomateriales, biomateriales y sistemas en biomedicina (NANBIOSIS);DISTRIBUIDAS;Centro Andaluz de Nanomedicina y Biotecnología (BIONAND) ;Fundación Pública Andaluza Progreso y Salud;ES.AN;18; -4.55727947120957;36.73780102953487;36.73780102953487, -4.557279471209576;"Parque Tecnológico de Andalucía 
Calle Severo Ochoa, 35 P. 29590 Campanillas, Málaga.";951 44 02 60;info@ibima.eu;https://www.nanbiosis.es/;https://www.ibima.eu/tag/bionand/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasSalud/NANBIOSIS/BIONAND.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-de-la-Salud-y-Biotecnolog-a/NANBIOSIS/NANBIOSIS-BIONAND/IBIMA_Edificio.jpg/jcr:content.jpg;https://www.nanbiosis.es/order-request/
17;CATALUÑA (SEDE);Ciencias del mar, vida y tierra;Bases Antárticas Españolas (BAES);DISTRIBUIDAS;Base Antártica Juan Carlos I (BAE-JCI);Agencia Estatal Consejo Superior de Investigaciones Científicas (CSIC);ES.CT;19; -60.61683867581426;-62.91615826555224;-62.91615826555224, -60.616838675814265;"CMIMA. Passeig Marítim de la Barceloneta, 37-49.  08003. Barcelona.
 	";93 230 95 00;info@utm.csic.es;http://www.utm.csic.es/es/instalaciones/jci;http://www.utm.csic.es/es/instalaciones/jci;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasMar/BAE/JCI.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-del-Mar-Vida-y--la-Tierra/BAE/BAE-JCI/BAE-JCI_Base.jpg/jcr:content.jpg;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasMar/BAE.html
18;MADRID (SEDE);Ciencias del mar, vida y tierra;Bases Antárticas Españolas (BAES);DISTRIBUIDAS;Base Antártica Gabriel de Castilla (BAE-GdC);Ministerio de Defensa (Ejército de Tierra - CSIC);ES.MD;20; -60.61678803292409;-62.912686105450106;-62.912686105450106, -60.61678803292409;Cuartel General del Ejército. Calle Prim, 6. 28004 Madrid.;;;https://ejercito.defensa.gob.es/unidades/Antartica/antartica/index.html;https://ejercito.defensa.gob.es/unidades/Antartica/antartica/index.html;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasMar/BAE/GdC.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-del-Mar-Vida-y--la-Tierra/BAE/BAE-GdC/GDC_Base.jpg/jcr:content.jpg;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasMar/BAE.html
19;MURCIA;Ciencias del mar, vida y tierra;Flota Oceanográfica Española (FLOTA);DISTRIBUIDAS;Buque de Investigación Oceanográfica (BIO) Hespérides;Ministerio de Defensa (Armada- CSIC);ES.MU;18; -0.98859322245286;37.60045313508097;37.60045313508097, -0.9885932224528606;"Secretaría de la COCSABO
Paseo de la Castellana, 162. 28046 Madrid.";;cocsabo@ciencia.gob.es;https://armada.defensa.gob.es/ArmadaPortal/page/Portal/ArmadaEspannola/buquessuperficie/prefLang-es/12buques-investigacion-oceanografia--01buque-investigacion-oceanografica-hesperides;https://armada.defensa.gob.es/ArmadaPortal/page/Portal/ArmadaEspannola/buquessuperficie/prefLang-es/12buques-investigacion-oceanografia--01buque-investigacion-oceanografica-hesperides;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasMar/FLOTA/BIO-Hesperides.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-del-Mar-Vida-y--la-Tierra/FLOTA/FLOTA-BIOHesp-rides/BIOHesperides.jpg/jcr:content.jpg;https://www.ciencia.gob.es/Ministerio/Mision-y-organizacion/Organismos-consultivos/COCSABO.html
20;CATALUÑA;Ciencias del mar, vida y tierra;Flota Oceanográfica Española (FLOTA);DISTRIBUIDAS;Flota CSIC Sede Central;Agencia Estatal Consejo Superior de Investigaciones Científicas (CSIC);ES.CT;18; 2.195939053843757;41.38532967275655;41.38532967275655, 2.1959390538437575;"
CMIMA. Passeig Marítim de la Barceloneta, 37-49. 08003 Barcelona. 
 	";93 230 95 00;cocsabo@ciencia.gob.es;http://www.utm.csic.es/es/instalaciones/;http://www.utm.csic.es/es/instalaciones/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasMar/FLOTA/B-O-CSIC.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-del-Mar-Vida-y--la-Tierra/FLOTA/FLOTA-CSIC/UTM_Laboratorio.jpg/jcr:content.jpg;https://www.ciencia.gob.es/Ministerio/Mision-y-organizacion/Organismos-consultivos/COCSABO.html
21;GALICIA;Ciencias del mar, vida y tierra;Flota Oceanográfica Española (FLOTA);DISTRIBUIDAS;Flota CSIC-IEO Sede Atlántica;"Agencia Estatal Consejo Superior de Investigaciones Científicas (CSIC). Instituo Español de Oceanografía (IEO)
";ES.GA;19; -8.734033815450067;42.233912984550486;42.233912984550486, -8.734033815450067;" Avenida Beiramar, 29. 36202 Vigo.
 	"; 986 211 041;cocsabo@ciencia.gob.es;http://www.ieo.es/es/flota;http://www.ieo.es/es/flota;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasMar/FLOTA/B-O-IEO.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-del-Mar-Vida-y--la-Tierra/FLOTA/FLOTA-CSIC-IEO/imagenDecorativa-ICTS-FlotaIEO-img01.jpg/jcr:content.jpg;https://www.ciencia.gob.es/Ministerio/Mision-y-organizacion/Organismos-consultivos/COCSABO.html
27;REGIÓN DE MURCIA;Ciencias del mar, vida y tierra;Infraestructura para el Cultivo del Atún Rojo (ICAR);LOCALIZACIÓN ÚNICA;Infraestructura para el Cultivo del Atún Rojo (ICAR);Instituto Español de Oceanografía (IEO);ES.MU;18; -1.23416868838549;37.57714207490181;37.57714207490181, -1.2341686883854912;Carretera de la Azohía, s/n. 30860 Puerto de Mazarrón, Murcia.;;;http://icar.ieo.es/;http://icar.ieo.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasMar/ICAR.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-del-Mar-Vida-y--la-Tierra/ICAR/imagenDecorativa-ICTS-ICAR-img02.jpg/jcr:content.jpg;http://icar.ieo.es/access/
28;ISLAS CANARIAS;Ciencias del mar, vida y tierra;Plataforma Oceánica de Canarias (PLOCAN);LOCALIZACIÓN ÚNICA;Plataforma Oceánica de Canarias (PLOCAN);Consorcio Plataforma Oceánica de Canarias (PLOCAN);ES.CN;19; -15.36869235792888;27.992845289862387;27.992845289862387, -15.36869235792888;Carretera de Taliarte, s/n. 35200 Telde, Gran Canaria.;928 13 44 14;info@plocan.eu;https://www.plocan.eu/;https://www.plocan.eu/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasMar/PLOCAN.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-del-Mar-Vida-y--la-Tierra/PLOCAN/imagenDecorativa-ICTS-PLOCAN-img03.jpg/jcr:content.jpg;https://www.plocan.eu/accesos/
29;ANDALUCÍA;Ciencias del mar, vida y tierra;Reserva Biológica de Doñana (RBD);LOCALIZACIÓN ÚNICA;Reserva Biológica de Doñana (RBD);Agencia Estatal Consejo Superior de Investigaciones Científicas (CSIC);ES.AN;18; -6.00600220003214;37.41225452388651;37.41225452388651, -6.006002200032143;Calle Americo Vespucio, 26. 41092 Isla de la Cartuja, Sevilla.;954 466700;informacion@ebd.csic.es;https://www.ciencia.gob.es/site-web/Organismos-y-Centros/ICTS/CienciasMar/RBD.html;https://www.ciencia.gob.es/site-web/Organismos-y-Centros/ICTS/CienciasMar/RBD.html;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasMar/RBD.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-del-Mar-Vida-y--la-Tierra/RBD/EstacionBiologicaDo-ana_Edificio.jpg/jcr:content.jpg;http://icts.ebd.csic.es/en/web/icts-ebd/how-to-do-research-in-donana
30;ISLAS BALEARES;Ciencias del mar, vida y tierra;Sistema de Observación Costero de las Illes Balears (SOCIB);LOCALIZACIÓN ÚNICA;"Sistema de Observación Costero
de las Illes Balears (SOCIB)";Consorcio Sistema de Observación Costero de las Illes Balears (SOCIB);ES.PM;19; 2.6319551000126147;39.635984540109455;39.635984540109455, 2.6319551000126147;Parc Bit, Naorte, Bloc A, 2º, puerta 3. 07121 Palma de Mallorca.;971 439 998;info_at@socib.es;https://www.socib.es/;https://www.socib.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasMar/SOCIB.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-del-Mar-Vida-y--la-Tierra/SOCIB/imagenDecorativa-ICTS-SOCIB-img04.jpg/jcr:content.jpg;https://www.socib.es/?seccion=competitiveAccess&language=es_ES
31;MADRID;Energía;Laboratorio Nacional de Fusión (LNF);LOCALIZACIÓN ÚNICA;Laboratorio Nacional de Fusión (LNF);Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas (CIEMAT);ES.MD;18; -3.72877659997022;40.45436170282057;40.45436170282057, -3.728776599970226;CIEMAT. Edif. 66. Avda. Complutense, 40. 28040 Madrid.;913 466 159;isabel.garcia-cortes@ciemat.es;http://www.fusion.ciemat.es/inicio/;http://www.fusion.ciemat.es/inicio/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Energia/LNF.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Energ-a/LNF/imagenDecorativa-ICTS-LNF-img10-model.jpg/jcr:content.jpg;http://www.fusion.ciemat.es/acceso-instalaciones-competitivas/
32;ANDALUCÍA;Energía;Plataforma Solar de Almería (PSA);LOCALIZACIÓN ÚNICA;Plataforma Solar de Almería (PSA);Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas (CIEMAT);ES.AN;18; -2.35841035767131;37.09543053162827;37.09543053162827, -2.358410357671314;Carretera de Senés, km 4.5. 04200 Tabernas, Almería.;950 387 800;info@psa.es;http://www.psa.es/es/index.php;http://www.psa.es/es/index.php;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Energia/PSA.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Energ-a/PSA/imagenDecorativa-ICTS-PSA-img01-Vista_general_CSP_D.jpg/jcr:content.jpg;http://www.psa.es/es/gen/acceso/index.php
33;CANTABRIA;Ingeniería;Infraestructura Distribuida de Ingeniería Marítima y Oceánica (MARHIS);DISTRIBUIDAS;Gran Tanque de Ingeniería Marítima de Cantabria (GTIM);Fundación Instituto de Hidráulica Ambiental;ES.CB;18; -3.87512614138830;43.45507011764571;43.45507011764571, -3.875126141388304;Calle Isabel Torres, 15. 39011 Santander.;;info@ictsmarhis.com;https://www.ictsmarhis.com/en;https://www.ictsmarhis.com/en;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Ingenieria/MARHIS/GTIM.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ingenier-a/MARHIS---Gran-Tanque-de-Ingenier-a-Mar-tima-de-Cantabria--GTIM-CCOB-/imagenDecorativa-ICTS-MARHIS-GTIM_ccob-img03.jpg/jcr:content.jpg;https://www.ictsmarhis.com/en/access-program
34;CATALUÑA;Ingeniería;Infraestructura Distribuida de Ingeniería Marítima y Oceánica (MARHIS);DISTRIBUIDAS;Infraestructuras Integradas Costeras para Experimentación y Simulación (iCIEM);Universitat Politècnica de Catalunya;ES.CT;16; 2.1125238739616;41.388154639885;41.388154639885, 2.1125238739616266;"Campus Diagonal Nord. Edifici D1
Carrer Jordi Girona, 1-3. 08034 Barcelona.
";93 401 64 68;info.lim@upc.edu;https://www.ictsmarhis.com/en;https://lim.upc.edu/ca;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Ingenieria/MARHIS/iCIEM.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ingenier-a/MARHIS-iCIEM/imagenDecorativa-ICTS-MARHIS-iCIEM-img09.jpg/jcr:content.jpg;https://www.ictsmarhis.com/en/access-program
